label,area,perimeter,solidity,extent,mean_intensity,max_intensity,min_intensity,eccentricity,major_axis_length,minor_axis_length,orientation,circularity,intensity_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation
26,1058.0,122.46803743153546,0.9742173112338858,0.7168021680216802,66.06805293005671,160.0,8.0,0.7090467756489515,43.83918571784812,30.913703748211727,0.5831484894545462,0.8864413677908064,29.31890846149256,686.7266470009833,0.06668907911451284,0.02768953360929936,0.5922534002258854
27,617.0,100.66904755831214,0.9477726574500768,0.6878483835005574,31.145867098865477,79.0,2.0,0.8546693229780578,39.41935928780525,20.46545731721306,-0.279679452165135,0.7650734103922817,15.38753162780177,264.35467128027676,0.05961379622876841,0.04150446552212856,0.44079041661201873
28,522.0,92.76955262170047,0.9666666666666667,0.725,98.87164750957854,193.0,12.0,0.8221900262782597,35.02630099514401,19.937429601024416,-0.027776062969655794,0.7622008742277883,36.95333083414565,974.7078189300411,0.03562011459944435,0.03443045376683438,0.6259878432172935
29,1195.0,134.22539674441617,0.9644874899112187,0.734029484029484,115.19748953974896,255.0,16.0,0.5382479613248357,42.79447198002995,36.066604466563376,-0.08583255963727313,0.8335053209855139,56.831935983850535,1181.7417391304343,0.04574277772298948,0.02351044492973178,0.8133087679949674
30,771.0,101.84062043356595,0.9734848484848485,0.8056426332288401,50.76394293125811,135.0,2.0,0.4950164260292405,33.63696937328643,29.226611576625977,-1.3433205940459343,0.9341619400740667,26.234180276949527,529.3396226415094,0.059700866004284925,0.032568857071683485,0.6085540758619449
31,658.0,93.84062043356595,0.9705014749262537,0.7861409796893668,30.735562310030396,78.0,0.0,0.5074526138182672,31.216443749372573,26.898574786192345,0.2886289399658288,0.9389749724153178,14.492005334141306,324.4456869009585,0.06723918921754363,0.041487440617318065,0.22669588880979447
32,1747.0,156.12489168102783,0.9732590529247911,0.7743794326241135,62.254149971379505,219.0,1.0,0.2195811457337464,47.84173732486823,46.67412334898968,1.3640067584037643,0.900655009355227,37.78812348754822,696.9588235294119,0.05284945622421116,0.02358449434909348,0.7560920438944996
33,1746.0,157.6812408671319,0.9754189944134078,0.7126530612244898,71.1368843069874,177.0,8.0,0.6047082902162474,53.14273644765751,42.32537501509316,0.8529489960479476,0.8824580018192733,26.956057371387317,728.9664113140836,0.05263280762799326,0.023706885904409475,0.48980853829172927
34,1740.0,154.02438661763952,0.9802816901408451,0.7555362570560139,75.1448275862069,255.0,2.0,0.4267674207956623,49.579404785362605,44.83770065576514,-1.0555985364997353,0.9216799422627441,41.61761828128869,808.971647962197,0.045318173686982106,0.023013301522478623,0.7664760356865453
35,1384.0,144.53910524340094,0.9671558350803634,0.6888999502239921,67.91401734104046,255.0,8.0,0.7408191220271011,51.49354847005243,34.58845179759089,0.5329886510248908,0.8324827252633394,32.366854523142074,710.010486891386,0.05795273235457488,0.02620117218335986,0.6622723178961152
